Run_ID,Experiment,Model,Dataset,Epoch,Train Loss,Train Acc,Test Loss,Test Acc,Timestamp
1,1,lenet,MNIST,5,0.0373678314906328,98.81833333333333,0.03617755422615379,98.89,03:02PM
1,1,lenet,MNIST,10,0.01954739280594375,99.35,0.0438418982554302,98.67,03:02PM
1,1,lenet,MNIST,15,0.011992221321083395,99.63166666666666,0.038337046650545964,98.99,03:02PM
1,1,lenet,MNIST,20,0.00792654942645839,99.75166666666667,0.04712466855647568,99.01,03:02PM
1,1,lenet,MNIST,25,0.006557399249535431,99.79333333333334,0.053247523974230465,98.84,03:02PM
1,1,lenet,MNIST,30,0.0048463351404659785,99.85,0.05000778849082505,98.98,03:02PM
1,1,lenet,MNIST,35,0.004457030697091184,99.88333333333334,0.04992894677661983,99.07,03:02PM
1,1,lenet,MNIST,40,0.001312840762613208,99.95833333333333,0.06413320310911613,99.08,03:02PM
1,1,lenet,MNIST,45,0.003403393491210594,99.89666666666666,0.07013929780704498,98.91,03:02PM
1,1,lenet,MNIST,50,0.006026357662186679,99.82666666666667,0.07185265907726389,98.98,03:02PM
1,2,lenet,CIFAR10,5,1.1786498214735095,58.024,1.245021083172719,55.45,03:09PM
1,2,lenet,CIFAR10,10,0.9580444823140684,66.032,1.144763733551001,60.14,03:09PM
1,2,lenet,CIFAR10,15,0.814627830977635,70.988,1.2057848314570774,60.44,03:09PM
1,2,lenet,CIFAR10,20,0.7105937100889738,74.668,1.2574454063822509,61.14,03:09PM
1,2,lenet,CIFAR10,25,0.6186277940297675,77.922,1.3316690526950132,60.77,03:09PM
1,2,lenet,CIFAR10,30,0.5482429788850457,80.34,1.4820308632152095,59.74,03:09PM
1,2,lenet,CIFAR10,35,0.4840312686455829,82.46,1.6316005849534538,58.81,03:09PM
1,2,lenet,CIFAR10,40,0.43432242333736565,84.284,1.8269199979533055,58.63,03:09PM
1,2,lenet,CIFAR10,45,0.39237914950875064,85.796,2.0560185666296893,57.94,03:09PM
1,2,lenet,CIFAR10,50,0.3568650967324786,86.936,2.2078939273858524,57.53,03:09PM
1,3,resnet18,MNIST,5,0.03376601925952537,99.02166666666666,0.04498501107427381,98.78,03:21PM
1,3,resnet18,MNIST,10,0.018558086572118278,99.42833333333333,0.0236010783150525,99.32,03:21PM
1,3,resnet18,MNIST,15,0.014093629352140976,99.55833333333334,0.0221989780814331,99.35,03:21PM
1,3,resnet18,MNIST,20,0.0077949624302107775,99.75,0.02038694148336255,99.46,03:21PM
1,3,resnet18,MNIST,25,0.004782065068718494,99.85333333333334,0.023530613938623286,99.42,03:21PM
1,3,resnet18,MNIST,30,0.004165463465984648,99.89,0.024402385504627193,99.42,03:21PM
1,3,resnet18,MNIST,35,0.003092568587760888,99.915,0.02964890497497636,99.26,03:21PM
1,3,resnet18,MNIST,40,0.0026894189588977176,99.92166666666667,0.03045569861635135,99.33,03:21PM
1,3,resnet18,MNIST,45,0.0015443965632144477,99.96666666666667,0.03226969206934416,99.34,03:21PM
1,3,resnet18,MNIST,50,0.001630477463621249,99.95166666666667,0.027432477505929583,99.42,03:21PM
1,4,resnet18,CIFAR10,5,0.5785032795442034,79.764,0.7386649256678903,74.55,03:32PM
1,4,resnet18,CIFAR10,10,0.21289408765733242,92.612,0.9292441230670662,74.72,03:32PM
1,4,resnet18,CIFAR10,15,0.10370227944253542,96.272,1.0340765925349704,76.85,03:32PM
1,4,resnet18,CIFAR10,20,0.06880796311751884,97.634,1.1563674460171134,76.74,03:32PM
1,4,resnet18,CIFAR10,25,0.07633106201193998,97.484,1.1594627064884089,77.14,03:32PM
1,4,resnet18,CIFAR10,30,0.04566547427522352,98.468,1.2561747188780719,76.9,03:32PM
1,4,resnet18,CIFAR10,35,0.03405595670980157,98.868,1.349219247603872,76.52,03:32PM
1,4,resnet18,CIFAR10,40,0.030767026459830222,99.018,1.3789733261059804,76.71,03:32PM
1,4,resnet18,CIFAR10,45,0.029541881312556622,99.018,1.357777849314319,76.98,03:32PM
1,4,resnet18,CIFAR10,50,0.031460390597622206,98.942,1.4059832906647094,76.8,03:32PM
1,5,vit,MNIST,5,2.0217784866849495,23.166666666666668,1.9991114959595309,23.75,06:16PM
1,5,vit,MNIST,10,1.9841338458345896,24.346666666666668,1.9030099370677,26.95,06:16PM
1,5,vit,MNIST,15,1.9205422090060675,27.18,1.9775176116615345,25.66,06:16PM
1,5,vit,MNIST,20,1.922148629927686,26.47833333333333,1.9289950048847564,25.8,06:16PM
1,5,vit,MNIST,25,1.907545174489906,27.313333333333333,1.8499063754537304,28.02,06:16PM
1,5,vit,MNIST,30,1.8593398023770054,29.031666666666666,1.830878711809778,29.42,06:16PM
1,5,vit,MNIST,35,1.9261517904714736,27.711666666666666,1.9880226250666722,26.27,06:16PM
1,5,vit,MNIST,40,1.865232743306963,29.161666666666665,1.8283120560797916,30.86,06:16PM
1,5,vit,MNIST,45,1.825032580763038,30.53,1.8318040340569368,29.63,06:16PM
1,5,vit,MNIST,50,1.8111234827082294,30.906666666666666,1.7514389616668604,33.27,06:16PM
1,6,vit,CIFAR10,5,2.105991781215229,19.792,2.0830926545865975,20.78,08:40PM
1,6,vit,CIFAR10,10,2.063849711052292,21.486,2.0423640043112883,22.84,08:40PM
1,6,vit,CIFAR10,15,2.067245527606486,21.406,2.036596006648556,22.46,08:40PM
1,6,vit,CIFAR10,20,2.0435500390389385,21.97,2.0586444268560715,21.44,08:40PM
1,6,vit,CIFAR10,25,2.0365036985148555,22.538,2.014751600611741,23.37,08:40PM
