exp_name,model,dataset,optimizer,learning_rate,batch_size,augmentation,epoch,train_loss,train_acc,test_loss,test_acc
exp12_resnet18_CIFAR10_rotation_none,resnet18,CIFAR10,adam,0.001,64,none,10,0.2099,92.65,0.8537,76.74
exp12_resnet18_CIFAR10_rotation_none,resnet18,CIFAR10,adam,0.001,64,none,15,0.1012,96.51,1.1081,76.47
exp12_resnet18_CIFAR10_rotation_none,resnet18,CIFAR10,adam,0.001,64,none,20,0.0754,97.33,1.1789,76.92
exp13_resnet18_CIFAR10_flip_flip,resnet18,CIFAR10,adam,0.001,64,flip,5,0.5834,79.64,0.8033,73.32
exp13_resnet18_CIFAR10_flip_flip,resnet18,CIFAR10,adam,0.001,64,flip,10,0.2145,92.54,0.8880,75.61
exp13_resnet18_CIFAR10_flip_flip,resnet18,CIFAR10,adam,0.001,64,flip,15,0.0985,96.67,1.0782,76.22
exp13_resnet18_CIFAR10_flip_flip,resnet18,CIFAR10,adam,0.001,64,flip,20,0.0674,97.61,1.1935,76.32
exp14_resnet18_CIFAR10_flip_none,resnet18,CIFAR10,adam,0.001,64,none,5,0.5819,79.45,0.8067,73.00
exp14_resnet18_CIFAR10_flip_none,resnet18,CIFAR10,adam,0.001,64,none,10,0.2222,92.28,0.9177,75.59
exp14_resnet18_CIFAR10_flip_none,resnet18,CIFAR10,adam,0.001,64,none,15,0.1045,96.45,1.0812,76.16
exp14_resnet18_CIFAR10_flip_none,resnet18,CIFAR10,adam,0.001,64,none,20,0.0739,97.48,1.1663,76.58
exp15_resnet18_CIFAR10_adam,resnet18,CIFAR10,adam,0.001,64,none,5,0.5811,79.79,0.7676,74.09
exp15_resnet18_CIFAR10_adam,resnet18,CIFAR10,adam,0.001,64,none,10,0.2104,92.49,0.9160,75.71
exp15_resnet18_CIFAR10_adam,resnet18,CIFAR10,adam,0.001,64,none,15,0.1035,96.38,1.0698,76.32
exp15_resnet18_CIFAR10_adam,resnet18,CIFAR10,adam,0.001,64,none,20,0.0711,97.52,1.2088,76.01
exp16_resnet18_CIFAR10_sgd,resnet18,CIFAR10,sgd,0.001,64,none,5,0.7288,74.39,1.0700,63.11
exp16_resnet18_CIFAR10_sgd,resnet18,CIFAR10,sgd,0.001,64,none,10,0.2485,91.31,1.3994,64.03
exp16_resnet18_CIFAR10_sgd,resnet18,CIFAR10,sgd,0.001,64,none,15,0.1131,96.15,1.5874,65.71
exp16_resnet18_CIFAR10_sgd,resnet18,CIFAR10,sgd,0.001,64,none,20,0.0487,98.39,1.7104,67.00
exp17_resnet18_CIFAR10_bs32,resnet18,CIFAR10,adam,0.001,32,none,5,0.6058,79.12,0.7327,75.57
exp17_resnet18_CIFAR10_bs32,resnet18,CIFAR10,adam,0.001,32,none,10,0.2105,92.70,0.8906,75.87
